YYA;Wala
YYA_ADJ;Wala
YYA_absolute_monarchy;Kingdom of Wala
YYA_prussian_constitutionalism;Kingdom of Wala
YYA_hms_government;Kingdom of Wala
YYB;Bolgatana
YYB_ADJ;Bolgatanan
YYC;Dagbon
YYC_ADJ;Dagbon
YYC_absolute_monarchy;Kingdom of Dagbon
YYC_prussian_constitutionalism;Kingdom of Dagbon
YYC_hms_government;Kingdom of Dagbon
YYD;Ashanti
YYD_ADJ;Ashanti
YYD_absolute_monarchy;Ashanti Empire
YYD_prussian_constitutionalism;Ashanti Empire
YYD_hms_government;Ashanti Empire
YYE;Fante Confederacy
YYE_ADJ;Fante
YYF;Malinke Groups
YYF_ADJ;Malinke
YYG;Bete Groups
YYG_ADJ;Bete
YYH;Assinie
YYH_ADJ;Assinie
YYI;Bouna
YYI_ADJ;Bounan
YYI_absolute_monarchy;Bouna Kingdom
YYI_prussian_constitutionalism;Bouna Kingdom
YYI_hms_government;Bouna Kingdom
YYJ;Abrom
YYJ_ADJ;Abrom
YYJ_absolute_monarchy;Abrom Kingdom
YYJ_prussian_constitutionalism;Abrom Kingdom
YYJ_hms_government;Abrom Kingdom
YYK;Baoule
YYK_ADJ;Baoule
YYK_absolute_monarchy;Baoule Kingdom
YYK_prussian_constitutionalism;Baoule Kingdom
YYK_hms_government;Baoule Kingdom
YYL;Kong
YYL_ADJ;Kong
YYL_absolute_monarchy;Kong Empire
YYL_prussian_constitutionalism;Kong Empire
YYL_hms_government;Kong Empire
YYM;Kenedougou
YYM_ADJ;Kenedougou
YYM_absolute_monarchy;Kenedougou Kingdom
YYM_prussian_constitutionalism;Kenedougou Kingdom
YYM_hms_government;Kenedougou Kingdom
YYN;Kankan
YYN_ADJ;Kankan
YYN_absolute_monarchy;Kankan Kingdom
YYN_prussian_constitutionalism;Kankan Kingdom
YYN_hms_government;Kankan Kingdom
YYO;Futa Jallon
YYO_ADJ;Futa Jallon
YYP;Kaabu
YYP_ADJ;Kaabu
YYQ;Kayor
YYQ_ADJ;Kayor
YYR;Futa Toro
YYR_ADJ;Futa Toro
YYS;Jolof
YYS_ADJ;Jolof
YYS_absolute_monarchy;Kingdom of Jolof
YYS_prussian_constitutionalism;Kingdom of Jolof
YYS_hms_government;Kingdom of Jolof
YYT;Bambouk
YYT_ADJ;Bambouk
YYU;Serer States
YYU_ADJ;Serer
YYU_absolute_monarchy;Serer Kingdoms
YYU_prussian_constitutionalism;Serer Kingdoms
YYU_hms_government;Serer Kingdoms
YYV;Maures
YYV_ADJ;Maure
YYW;Tuareg Groups
YYW_ADJ;Tuareg
YYX;Gao
YYX_ADJ;Gao
YYY;Timbuktu
YYY_ADJ;Timbuktu
YYZ;Massina
YYZ_ADJ;Massinan
YYZ_absolute_monarchy;Massina Empire
YYZ_prussian_constitutionalism;Massina Empire
YYZ_hms_government;Massina Empire
YZA;Bambara
YZA_ADJ;Bambaran
